LID,Glottocode,Language,WordOrderAPLex,WordOrderAPVLexFlexible,VFinalLex,VFinalOrFreeLex,VInitialLex,VMedialLex,WordOrderAPVBasicLex,WordOrderSVBasicLex,WordOrderAPBasicLex,WordOrderAVBasicLex,WordOrderPVBasicLex,PositionVBasicLex,PositionVBasicLexIsFinal,PositionVBasicLexIsFinalFree,PositionVBasicLexIsInitial,PositionVBasicLexIsMedial,WordOrderAPVSecondaryLex,WordOrderSVSecondaryLex,WordOrderAPSecondaryLex,WordOrderAVSecondaryLex,WordOrderPVSecondaryLex,PositionVSecondaryLex,PositionVSecondaryLexIsFinal,PositionVSecondaryLexIsFinalFree,PositionVSecondaryLexIsInitial,PositionVSecondaryLexIsMedial
393,usan1239,Usan,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
407,wask1241,Waskia,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
359,sulk1246,Sulka,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
22,anem1249,Anêm,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
191,siwa1245,Motuna,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
140,rapo1238,Konua,,,,,,,,,,,,,,,,,,,,,,,,,,
30,qaqe1238,Baining,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ayiw1239,Aiwo,AO,rigid,non_final,other,other,medial,AVO,,AO,dep-head,head-dep,V=2,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,
138,komb1274,Kombai,,flexible,final,final_or_free,other,other,xxV,,,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
36,beri1254,Berik,AO,rigid,final,final_or_free,other,other,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,,,,,,,,,,
133,kiri1256,Kirikiri,mixed,flexible,mixed,mixed,mixed,mixed,OAV,,OA,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE,AOV,,AO,dep-head,dep-head,V=3,TRUE,TRUE,FALSE,FALSE
320,oira1263,Oirata,,,,,,,,,,,,,,,,,,,,,,,,,,
158,lamm1241,Lamma,,,,,,,,,,,,,,,,,,,,,,,,,,
137,wers1238,Kolana,,,,,,,,,,,,,,,,,,,,,,,,,,
71,dyir1250,Dyirbal,,free,,final_or_free,other,other,free,,,,,free,,TRUE,FALSE,FALSE,,,,,,,,,,
