PoS,ProjectionType,SyntacticDomain,SemanticDomain,ClausalDomain,Definition
N-syncr2832,terminal,nominal,,argument,Gothic nouns of every gender with syncretic NOM/ACC forms
N-nsyncr2832,terminal,nominal,,argument,Gothic nouns of every gender with non-syncretic NOM and ACC forms
3sgPro-masc2832,terminal,nominal,non-SAP,argument,Gothic 3rd person singular masculine pronoun
3sgPro-fem2832,terminal,nominal,non-SAP,argument,Gothic 3rd person singular feminine pronoun
3sgPro-neu2832,terminal,nominal,non-SAP,argument,Gothic 3rd person singular neutrum pronoun
3plPro-masc2832,terminal,nominal,non-SAP,argument,Gothic 3rd person plural masculine pronoun
3plPro-fem2832,terminal,nominal,non-SAP,argument,Gothic 3rd person plural feminine pronoun
3plPro-neu2832,terminal,nominal,non-SAP,argument,Gothic 3rd person plural neuter pronoun
N-fem549,terminal,nominal,,argument,"Latvian nouns in feminine, which are syncretic only in the plural"
N-masc549,terminal,nominal,,argument,"Latvian nouns in masculine, which have no NOM/ACC syncretism"
3sgPro-fem549,terminal,nominal,,,Latvian feminine 3sg pronoun
3plPro-fem549,terminal,nominal,,,Latvian feminine 3pl pronoun (syncretic NOM/ACC)
3sgPro-masc549,terminal,nominal,,,Latvian masculine 3sg pronoun
3plPro-masc549,terminal,nominal,,,Latvian masculine 3pl pronoun
N-syncr2900,terminal,nominal,,argument,Avestan nouns of the inflectional classes with NOM/ACC syncretism (either in du/pl only or also in sg)
N-nsyncr2900,terminal,nominal,,argument,Avestan nouns of the inflectional classes without NOM/ACC syncretism
N-nsyncr464,terminal,nominal,,,Greek nouns of the inflectional classes without NOM/ACC syncretism (some masculines and some feminines)
N-syncr464,terminal,nominal,,,"Greek nouns of the inflectional classes with NOM/ACC syncretism (all neuter, some masculines and some feminines, some of them in pl. only, other both in sg. and pl.)"
3sgPro-neu464,terminal,nominal,,,Greek neuter 3sg pronoun
3sgPro-fem464,terminal,nominal,,,Greek feminine 3sg pronoun
3sgPro-masc464,terminal,nominal,,,Greek masculine 3sg pronoun
3plPro-neu464,terminal,nominal,,,Greek neuter 3pl pronoun
3plPro-fem464,terminal,nominal,,,Greek feminine 3pl pronoun
3plPro-masc464,terminal,nominal,,,Greek masculine 3pl pronoun
N-syncr2893,terminal,nominal,,,"Latin nouns with NOM = ACC syncretism both in sg. and pl. (all neuter nouns and fem. and masc. nouns of declension 3, 4 and 5)"
