ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
1531,Godoberi,,42.63,46.11,ghod1238,gdo,3585,Godoberi,Nakh-Daghestanian,,,,Daghestanian,Avar-Andic,Andic,,,Caucasus,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
1532,Kire,,-4.25,144.75,kire1240,geb,,Kire,Lower Sepik - Ramu,,,Torricelli-Lower Sepik,Lower Ramu,Mikarew-Kire (MK),,,,,,,not hg,Pacific,NG and Oceania,N Coast New Guinea,Pacific
1533,Gade,,8.67,7.42,gade1242,ged,5989,Gade,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Nupoid,,,,,,,,,Africa,Africa,African Savannah,Africa
1534,Enya,,-4.75,26.75,enya1247,gey,,Enya,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,,,,,Africa,Africa,S Africa,Africa
1535,Patpatar,,-3.77,152.5,patp1243,gfk,,Patpatar,Austronesian,,,,Malayo-Polynesian,Oceanic,Western Oceanic linkage,Papuan Tip,,,,,,Eurasia,NG and Oceania,N Coast New Guinea,Pacific
1536,Gurr-goni,,-12.25,134.42,gura1252,gge,,"Guragone,Gurr-goni",Burraran,,,Maningrida (Arnhem Land Family),,,,,,,,,,Australia,Australia,N Australia,Pacific
1537,Gondi,,19,81,nort2702,gno,,"Gondi, Gaudi, Ghond, Godi, Gondi, Gondiva, Gondu, Gondwadi, Goondile, Goudi, Goudwal",Dravidian,,,,South Dravidian,South Dravidian II (”South-Central”),,,,,,,,Eurasia,S/SE Asia,Indic,Eurasia
1538,Nubian (Hill),,12,31,kenu1236,kzh,,Nubian (Hill),Nubian,,Core Nilo-Saharan,Eastern Sudanic,,,,,,,,,,Africa,Africa,African Savannah,Africa
1539,Guhu-Samane,,-8,147.33,guhu1244,ghs,,Guhu-Samane,Greater Binanderean,,Trans New Guinea,,Guhu-Samane,,,,,,,,,Pacific,NG and Oceania,S New Guinea,Pacific
1540,Kitja,,-17.5,127.75,kitj1240,gia,3461,"Kitja, Gidja, Kidja, Kija",Djerragan,"Djeragan, Djerragan",,,,,,,,,,,hg,Australia,Australia,N Australia,Pacific
1541,Gidar,,10,14,gida1247,gid,,Gidar,Chadic,,,Afroasiatic,Biu-Mandara (Central Chadic),,,,,,,,,Africa,Africa,African Savannah,Africa
1542,Hinuq,,42.18,45.99,hinu1240,gin,3587; 13933,"Hinukh, Hinux, Ginux, Hinuq",Nakh-Daghestanian,,,,Daghestanian,Tsezic,,,,Caucasus,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
1543,Giziga,,10.33,14.17,nort3047,gis,,Giziga,Chadic,,,Afroasiatic,Biu-Mandara (Central Chadic),,,,,,,,,Africa,Africa,African Savannah,Africa
1544,Gujarati,,23,72,guja1252,guj,6581; 3206; 3516; 3699,Gujarati,Indo-European,,,Indo-Uralic,Indo-Iranian,Indo-Aryan,Southwestern Indo-Aryan,,,,,,,Eurasia,S/SE Asia,Indic,Eurasia
1545,Gojri,,32.75,76.25,guja1253,gju,6624,Gojri,Indo-European,,,Indo-Uralic,Indo-Iranian,Indo-Aryan,,,,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
1546,Gokana,,4.58,7.33,goka1239,gkn,4549; 5794; 5808; 13607,Gokana,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Cross River,,,,,,,,,Africa,Africa,African Savannah,Africa
1547,Gaalpu,,-12.67,136.75,dhan1270,dhg,,"Gaalpu, Dangu, Dhangu’mi, Djangu",Pama-Nyungan,,,Macro-Pama-Nyungan,Yolngu,,,,,,,,,Australia,Australia,N Australia,Pacific
1548,Gula Iro,,10.25,19.42,gula1265,glj,,Gula Iro,Adamawa-Ubangi,,Niger-Kordofanian,Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
