"LID","LocusMicrorelations.binned6","LocusMicrorelationDefaultStatus","LocusMicrorelations","LocusMicrorelationsRelation.binned5","LocusMicrorelationCategoryCondition","LocusMicrorelations.binned5","LocusMicrorelationsRelation"
404,"2","default","H+D","P","#ANY#","2","T-default"
404,"2","default","H+D","P","#ANY#","2","U-default"
405,"D","conditioned","D","POSS","Pro","D","POSS-default"
405,"Ø","conditioned","Ø","POSS","Pro","Ø","POSS-default"
405,"H","default","H","A","#ANY#","H","A-default"
405,"H","default","H","POSS","#ANY#","H","POSS-default"
405,"H","default","H","S","#ANY#","H","S-default"
405,"H","default","H","P","#ANY#","H","U-default"
406,"D","conditioned","D","A","#ANY#","D","A-default"
406,"H","default","H","A","#ANY#","H","A-default"
406,"H","default","H","POSS","#ANY#","H","POSS-default"
406,"H","default","H","S","#ANY#","H","S-default"
406,"H","default","H","P","#ANY#","H","U-default"
406,"D","conditioned","D","P","#ANY#","D","U-default"
407,"2","default","H+d","A","#ANY#","H","A-default"
407,"H","default","H","POSS","#ANY#","H","POSS-default"
407,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
407,"2","default","H+d","S","#ANY#","H","S-default"
407,"Ø","default","Ø","ATTR","#ANY#","Ø","ATTR-default"
407,"2","default","H+d","P","#ANY#","H","U-default"
408,"2","default","F+D","A","#ANY#","2","A-default"
408,"D","conditioned","D","POSS","#ANY#","D","POSS-default"
408,"H","conditioned","H","POSS","#ANY#","H","POSS-default"
408,"2","default","H+D","POSS","#ANY#","2","POSS-default"
408,"2","default","F+D","S","#ANY#","2","S-default"
408,"2","default","F+D","P","#ANY#","2","U-default"
409,"H","conditioned","H","POSS","N-alien","H","POSS-default"
409,"2","default","F+D","P","Pro_or_N-hum","2","U-default"
409,"2","default","H+D","A","#ANY#","2","A-default"
409,"D","default","D","POSS","#ANY#","D","POSS-default"
409,"2","default","H+D","S","#ANY#","2","S-default"
409,"D","conditioned","D","P","#ANY#","D","U-default"
411,"H","default","H","A","#ANY#","H","A-default"
411,"D on H","default","D on H","P","#ANY#","FloatingorClitic","B-default"
411,"H","default","H","POSS","#ANY#","H","POSS-default"
411,"H","default","H","S","#ANY#","H","S-default"
411,"H","default","H","P","#ANY#","H","U-default"
411,,"default",,"ATTR","#ANY#",,"ATTR-default"
413,"D","default","D","A","#ANY#","D","A-default"
413,"D","default","D","P","#ANY#","D","B-default"
413,"D","default","D","POSS","#ANY#","D","POSS-default"
413,"2","default","H+D","S","#ANY#","2","S-default"
413,"2","default","H+D","P","#ANY#","2","U-default"
413,"D","default","D","ATTR","#ANY#","D","ATTR-default"
