LID,Glottocode,Language,ISO639_3,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,Longitude,Latitude,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
782,lule1238,Lule,ule,Lule,Lule-Vilela,,,,Lule,,,,,-64,-28,,,,hg,South America,S America,SE South America,Americas
783,kuli1251,Madimadi,dmd,"Madimadi, Madhi Madhi, Muthimuthi, madhimadhi",Pama-Nyungan,,,Macro-Pama-Nyungan,Kulinic,,,,,143.5,-34.5,,,,,Australia,Australia,S Australia,Pacific
784,maip1246,Maipure,qij,Maipure,Arawakan,Maipurean,,,,,,,,-67.5,5.5,,,,,South America,S America,NE South America,Americas
785,yuhu1238,Máko,yab,"Máku, Máko, Maco, Macu, Makú",Máko,,,,,,,,,-69.83,0.42,,,,hg,South America,S America,NE South America,Americas
786,rong1264,Rongpo,rnp,"Marchha, Rongpo, Rangpa",Sino-Tibetan,,,,West Himalayish,Greater Kinnauri,,,,79.58,30.25,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
787,mayk1239,Mayi-Yapi,mnt,Mayi-Yapi,Pama-Nyungan,,,Macro-Pama-Nyungan,Paman,Mayabic,,,,141,-20,,,,,Australia,Australia,N Australia,Pacific
788,mbab1239,Mbabaram,vmb,Mbabaram,Pama-Nyungan,,,Macro-Pama-Nyungan,Paman,Southern Pama,,,,145,-17.17,,,,hg,Australia,Australia,N Australia,Pacific
789,mila1245,Milang,NA,Milang,Sino-Tibetan,,,,Tani,Eastern Tani,,,,95.25,28.5,Himalaya,,,,Eurasia,S/SE Asia,Indic,Eurasia
790,moch1259,Mochica,omc,"Mochica, Chimú, Yunga, Yunca, Muchic",Mochica,"Mochica, Chimuan",,,,,,,,-79.33,-7.5,,,,,South America,S America,Andean,Americas
791,mong1331,Khamnigan,mon,Mongol (Khamnigan),Mongolic,Mongolian,,Altaic,,,,,,117,49,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
792,zaca1241,Nahuatl (Huauchinango),nhi,Nahuatl (Huauchinango),Uto-Aztecan,,,,Southern Uto-Aztecan,Aztecan,,,,-98.08,20.17,,,,,North America,C America,Mesoamerica,Americas
793,more1259,Nahuatl (Milpa Alta),NA,Nahuatl (Milpa Alta),Uto-Aztecan,,,,Southern Uto-Aztecan,Aztecan,,,,-99.17,19.25,,,,,North America,C America,Mesoamerica,Americas
794,poch1244,Nahuatl (Pochutla),xpo,Nahuatl (Pochutla),Uto-Aztecan,,,,Southern Uto-Aztecan,Aztecan,,,,-96.5,15.75,,,,,North America,C America,Mesoamerica,Americas
795,nhan1238,Nhanda,nha,Nhanda,Pama-Nyungan,,,Macro-Pama-Nyungan,Southwestern Pama-Nyungan,Kartu,,,,114.17,-27,,,,,Australia,Australia,S Australia,Pacific
796,puqu1242,Puquina,puq,Puquina,Puquina,"Puquina-Collahuaya, Puquina-Callahuaya",,,,,,,,-68.5,-16.5,,,,,South America,S America,Andean,Americas
797,sout2991,Quechua (Bolivian),quh,Quechua (Bolivian),Quechuan,,,Quechumaran (Andean),,,,,,-66,-20,,,,not hg,South America,S America,Andean,Americas
798,balk1252,Romani (Sepecides),rmn,Romani (Sepecides),Indo-European,,,Indo-Uralic,Indo-Iranian,Indo-Aryan,Central Indo-Aryan,Romani,,27,38.25,,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
799,kjac1234,Russian-Chinese Pidgin,NA,Birobidjan,Russian-Chinese Pidgin,Birobidjan,,,,,,,creole,132.95,48.8,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
800,sorb1249,Sorbian,,Sorbian,Indo-European,,,Indo-Uralic,Balto-Slavic,Slavic,West Slavic,,,14,51.5,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
801,tasm1247,Tasmanian (Oyster Bay to Pitwater),xtz,Tasmanian (Oyster Bay to Pitwater),Tasmanian,,,,,,,,,147.75,-42.5,,,,,Australia,Australia,S Australia,Pacific
803,tupi1274,Tupi,tpw,Tupi,Tupian,,,,Tupi-Guaraní,,,,,-36,-6,,,,not hg,South America,S America,NE South America,Americas
804,tzel1254,Tzeltal,tzh,Tzeltal,Mayan,,,,Greater Tzeltalan,Tzeltalan,,,,-92.25,16.83,,,,,North America,C America,Mesoamerica,Americas
805,uzbe1247,Uzbek,uzb,Uzbek,Turkic,,,Altaic,Common Turkic,Karluk (Southeastern Turkic),,,,66,39,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
806,warr1257,Warrnambool,gjm,Kuurn Kopan Noot,Pama-Nyungan,,,Macro-Pama-Nyungan,Kulinic,,,,,142.5,-38.25,,,,,Australia,Australia,S Australia,Pacific
808,wath1238,Wathawurrung,wth,Wathawurrung,Pama-Nyungan,,,Macro-Pama-Nyungan,Kulinic,,,,,144,-38,,,,,Australia,Australia,S Australia,Pacific
810,ngaa1240,Western Desert (Ooldea),ntj,Western Desert (Ooldea),Pama-Nyungan,,,Macro-Pama-Nyungan,Southwestern Pama-Nyungan,Wati,,,,132,-30.5,,,,,Australia,Australia,S Australia,Pacific
811,woiw1237,Woiwurrung,wyi,Wuywurrung,Pama-Nyungan,,,Macro-Pama-Nyungan,Kulinic,,,,,145.5,-37.5,,,,,Australia,Australia,S Australia,Pacific
812,womo1238,Womo,wmx,Womo,Macro-Skou,,,,Skou-Serra-Warapu,,Serra Hills,,,141.83,-2.92,,,,not hg,Pacific,NG and Oceania,N Coast New Guinea,Pacific
813,yort1237,Yaygir,xyy,Yaygir,Pama-Nyungan,,,Macro-Pama-Nyungan,Gumbaynggiric,,,,,153,-29.67,,,,,Australia,Australia,S Australia,Pacific
814,east2295,Yiddish,ydd,Yiddish,Indo-European,,,Indo-Uralic,Germanic,West Germanic,,,,23,52,,,,,Eurasia,N-C Asia,Inner Asia,Eurasia
815,yort1237,Yorta Yorta,xyy,Yorta Yorta,Pama-Nyungan,,,Macro-Pama-Nyungan,Yotayotic,,,,,146,-36,,,,,Australia,Australia,S Australia,Pacific
817,yuru1243,Yurimangí,qic,"Yurumanguí, Yurimangi, Yurimangí, Yurimanguí, Yurimangui, Yurumangui",Yurimangí,,,,,,,,,-77,3.83,,,,,South America,S America,Andean,Americas
818,ghot1243,Ghotuo,aaa,Ghotuo,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Edoid,,,,,5.75,7.08,,,,,Africa,Africa,African Savannah,Africa
